stmt_app_name	stmt_id	stmt_raw_sql	stmt_calcite_sql	improve_calcite	improve_wetune	stmt_trace
calcite_test	1	SELECT '12:34:56' FROM EMP AS EMP				
calcite_test	2	SELECT '12:34:56' FROM EMP AS EMP0				
calcite_test	3	SELECT * FROM (SELECT * FROM EMP AS EMP WHERE EMP.DEPTNO = 10 INTERSECT SELECT * FROM EMP AS EMP0 WHERE EMP0.DEPTNO = 20) AS t1 INTERSECT SELECT * FROM EMP AS EMP1 WHERE EMP1.DEPTNO = 30	SELECT EMPNO, ENAME, JOB, MGR, SAL, COMM, DEPTNO, HIREDATE, SLACKER FROM (SELECT EMPNO, ENAME, JOB, MGR, SAL, COMM, DEPTNO, HIREDATE, SLACKER, COUNT(*) AS $F9 FROM EMP WHERE DEPTNO = 10 GROUP BY EMPNO, ENAME, JOB, MGR, SAL, COMM, DEPTNO, HIREDATE, SLACKER UNION ALL SELECT EMPNO, ENAME, JOB, MGR, SAL, COMM, DEPTNO, HIREDATE, SLACKER, COUNT(*) AS $F9 FROM EMP WHERE DEPTNO = 20 GROUP BY EMPNO, ENAME, JOB, MGR, SAL, COMM, DEPTNO, HIREDATE, SLACKER) AS T3 GROUP BY EMPNO, ENAME, JOB, MGR, SAL, COMM, DEPTNO, HIREDATE, SLACKER HAVING COUNT(*) = 2 INTERSECT SELECT * FROM EMP WHERE DEPTNO = 30	-0.4076223373413086		
calcite_test	4	SELECT t10.EMPNO, t10.ENAME, t10.JOB, t10.MGR, t10.HIREDATE, t10.SAL, t10.COMM, t10.DEPTNO, t10.SLACKER FROM (SELECT EMP2.EMPNO, EMP2.ENAME, EMP2.JOB, EMP2.MGR, EMP2.HIREDATE, EMP2.SAL, EMP2.COMM, EMP2.DEPTNO, EMP2.SLACKER, COUNT(*) AS $f9 FROM EMP AS EMP2 WHERE EMP2.DEPTNO = 10 GROUP BY EMP2.EMPNO, EMP2.ENAME, EMP2.JOB, EMP2.MGR, EMP2.HIREDATE, EMP2.SAL, EMP2.COMM, EMP2.DEPTNO, EMP2.SLACKER UNION ALL SELECT EMP3.EMPNO, EMP3.ENAME, EMP3.JOB, EMP3.MGR, EMP3.HIREDATE, EMP3.SAL, EMP3.COMM, EMP3.DEPTNO, EMP3.SLACKER, COUNT(*) AS $f9 FROM EMP AS EMP3 WHERE EMP3.DEPTNO = 20 GROUP BY EMP3.EMPNO, EMP3.ENAME, EMP3.JOB, EMP3.MGR, EMP3.HIREDATE, EMP3.SAL, EMP3.COMM, EMP3.DEPTNO, EMP3.SLACKER UNION ALL SELECT EMP4.EMPNO, EMP4.ENAME, EMP4.JOB, EMP4.MGR, EMP4.HIREDATE, EMP4.SAL, EMP4.COMM, EMP4.DEPTNO, EMP4.SLACKER, COUNT(*) AS $f9 FROM EMP AS EMP4 WHERE EMP4.DEPTNO = 30 GROUP BY EMP4.EMPNO, EMP4.ENAME, EMP4.JOB, EMP4.MGR, EMP4.HIREDATE, EMP4.SAL, EMP4.COMM, EMP4.DEPTNO, EMP4.SLACKER) AS t10 GROUP BY t10.EMPNO, t10.ENAME, t10.JOB, t10.MGR, t10.HIREDATE, t10.SAL, t10.COMM, t10.DEPTNO, t10.SLACKER HAVING COUNT(*) = 3	SELECT EMPNO, ENAME, JOB, MGR, HIREDATE, SAL, COMM, DEPTNO, SLACKER FROM (SELECT EMPNO, ENAME, JOB, MGR, HIREDATE, SAL, COMM, DEPTNO, SLACKER FROM EMP WHERE DEPTNO = 10 GROUP BY EMPNO, ENAME, JOB, MGR, SAL, COMM, DEPTNO, HIREDATE, SLACKER UNION ALL SELECT EMPNO, ENAME, JOB, MGR, HIREDATE, SAL, COMM, DEPTNO, SLACKER FROM EMP WHERE DEPTNO = 20 GROUP BY EMPNO, ENAME, JOB, MGR, SAL, COMM, DEPTNO, HIREDATE, SLACKER UNION ALL SELECT EMPNO, ENAME, JOB, MGR, HIREDATE, SAL, COMM, DEPTNO, SLACKER FROM EMP WHERE DEPTNO = 30 GROUP BY EMPNO, ENAME, JOB, MGR, SAL, COMM, DEPTNO, HIREDATE, SLACKER) AS T8 GROUP BY EMPNO, ENAME, JOB, MGR, HIREDATE, SAL, COMM, DEPTNO, SLACKER HAVING COUNT(*) = 3	0.05543583631515503		
calcite_test	5	SELECT t0.EXPR$0 + t0.EXPR$1 + t0.EXPR$0 FROM (VALUES (10, 1), (30, 3)) AS t WHERE t.EXPR$0 + t.EXPR$1 > 50	SELECT T0.X + T0.Y + T0.X FROM (VALUES (10, 1), (30, 3)) AS T0(X, Y) WHERE T0.X + T0.Y > 50			
calcite_test	6	SELECT * FROM (VALUES ()) AS t3	SELECT * FROM (VALUES (NULL)) AS T3(X) WHERE 1 = 0			
calcite_test	7	SELECT * FROM (SELECT * FROM (VALUES (10, 1), (30, 3)) AS t UNION ALL SELECT * FROM (VALUES (20, 2)) AS t0) AS t1 WHERE t1.X + t1.Y > 30	SELECT * FROM (SELECT * FROM (VALUES (10, 1), (30, 3)) AS T(X, Y) UNION ALL SELECT * FROM (VALUES (20, 2)) AS T0(X, Y)) AS T1 WHERE T1.X + T1.Y > 30			
calcite_test	8	SELECT * FROM (VALUES (30, 3)) AS t3	SELECT * FROM (VALUES (30, 3)) AS T3(X, Y)			
calcite_test	9	SELECT DEPT.DEPTNO, DEPT.DEPTNO FROM DEPT AS DEPT ORDER BY DEPT.DEPTNO LIMIT 10000 OFFSET 1	SELECT DEPTNO, DEPTNO FROM (SELECT DEPTNO, NAME FROM DEPT ORDER BY DEPTNO OFFSET 1 ROWS) AS T			
calcite_test	10	SELECT t3.DEPTNO, t3.DEPTNO FROM (SELECT * FROM DEPT AS DEPT0 ORDER BY DEPT0.DEPTNO LIMIT 10000 OFFSET 1) AS t3	SELECT DEPTNO, DEPTNO FROM (SELECT DEPTNO, NAME FROM DEPT ORDER BY DEPTNO OFFSET 1 ROWS) AS T			
calcite_test	11	SELECT DEPT.DEPTNO, DEPT.DEPTNO FROM DEPT AS DEPT ORDER BY DEPT.DEPTNO LIMIT 10000 OFFSET 1	SELECT DEPTNO, CAST(DEPTNO AS DOUBLE PRECISION) FROM (SELECT DEPTNO, NAME FROM DEPT ORDER BY DEPTNO OFFSET 1 ROWS) AS T			
