patch_app	patch_type	patch_table_name	patch_columns_name	patch_source	patch_reference
broadleaf	BOOLEAN	blc_address	is_active	manual	
broadleaf	BOOLEAN	blc_address	is_business	manual	
broadleaf	BOOLEAN	blc_address	is_default	manual	
broadleaf	BOOLEAN	blc_address	is_mailing	manual	
broadleaf	BOOLEAN	blc_address	is_street	manual	
broadleaf	BOOLEAN	blc_address	standardized	manual	
broadleaf	BOOLEAN	blc_admin_password_token	token_used_flag	manual	
broadleaf	BOOLEAN	blc_admin_permission	is_friendly	manual	
broadleaf	BOOLEAN	blc_admin_section	use_default_handler	manual	
broadleaf	BOOLEAN	blc_admin_user	active_status_flag	manual	
broadleaf	BOOLEAN	blc_admin_user	archived	manual	
broadleaf	BOOLEAN	blc_bund_item_fee_price	is_taxable	manual	
broadleaf	BOOLEAN	blc_catalog	archived	manual	
broadleaf	BOOLEAN	blc_category	archived	manual	
broadleaf	BOOLEAN	blc_category	override_generated_url	manual	
broadleaf	BOOLEAN	blc_category_product_xref	default_reference	manual	
broadleaf	BOOLEAN	blc_category_xref	default_reference	manual	
broadleaf	BOOLEAN	blc_code_types	modifiable	manual	
broadleaf	BOOLEAN	blc_currency	default_flag	manual	
broadleaf	BOOLEAN	blc_customer	archived	manual	
broadleaf	BOOLEAN	blc_customer	deactivated	manual	
broadleaf	BOOLEAN	blc_customer	is_preview	manual	
broadleaf	BOOLEAN	blc_customer	is_registered	manual	
broadleaf	BOOLEAN	blc_customer	is_tax_exempt	manual	
broadleaf	BOOLEAN	blc_customer	password_change_required	manual	
broadleaf	BOOLEAN	blc_customer	receive_email	manual	
broadleaf	BOOLEAN	blc_customer_address	archived	manual	
broadleaf	BOOLEAN	blc_customer_password_token	token_used_flag	manual	
broadleaf	BOOLEAN	blc_customer_payment	is_default	manual	
broadleaf	BOOLEAN	blc_data_drvn_enum	modifiable	manual	
broadleaf	BOOLEAN	blc_data_drvn_enum_val	enum_type	manual	
broadleaf	BOOLEAN	blc_data_drvn_enum_val	hidden	manual	
broadleaf	BOOLEAN	blc_field	override_generated_prop_name	manual	
broadleaf	BOOLEAN	blc_field	translatable	manual	
broadleaf	BOOLEAN	blc_fld_def	allow_multiples	manual	
broadleaf	BOOLEAN	blc_fld_def	hidden_flag	manual	
broadleaf	BOOLEAN	blc_fld_def	required_flag	manual	
broadleaf	BOOLEAN	blc_fld_def	text_area_flag	manual	
broadleaf	BOOLEAN	blc_fld_group	init_collapsed_flag	manual	
broadleaf	BOOLEAN	blc_fld_group	is_master_field_group	manual	
broadleaf	BOOLEAN	blc_fulfillment_group	is_primary	manual	
broadleaf	BOOLEAN	blc_fulfillment_group	shipping_override	manual	
broadleaf	BOOLEAN	blc_fulfillment_group	shipping_price_taxable	manual	
broadleaf	BOOLEAN	blc_fulfillment_group_fee	fee_taxable_flag	manual	
broadleaf	BOOLEAN	blc_fulfillment_option	taxable	manual	
broadleaf	BOOLEAN	blc_fulfillment_option	use_flat_rates	manual	
broadleaf	BOOLEAN	blc_index_field	archived	manual	
broadleaf	BOOLEAN	blc_index_field	searchable	manual	
broadleaf	BOOLEAN	blc_index_field_type	archived	manual	
broadleaf	BOOLEAN	blc_locale	default_flag	manual	
broadleaf	BOOLEAN	blc_locale	use_in_search_index	manual	
broadleaf	BOOLEAN	blc_module_configuration	archived	manual	
broadleaf	BOOLEAN	blc_module_configuration	is_default	manual	
broadleaf	BOOLEAN	blc_offer	apply_to_child_items	manual	
broadleaf	BOOLEAN	blc_offer	apply_to_sale_price	manual	
broadleaf	BOOLEAN	blc_offer	archived	manual	
broadleaf	BOOLEAN	blc_offer	automatically_added	manual	
broadleaf	BOOLEAN	blc_offer	combinable_with_other_offers	manual	
broadleaf	BOOLEAN	blc_offer	requires_related_tar_qual	manual	
broadleaf	BOOLEAN	blc_offer	totalitarian_offer	manual	
broadleaf	BOOLEAN	blc_offer_code	archived	manual	
broadleaf	BOOLEAN	blc_order	is_preview	manual	
broadleaf	BOOLEAN	blc_order	tax_override	manual	
broadleaf	BOOLEAN	blc_order_item	discounts_allowed	manual	
broadleaf	BOOLEAN	blc_order_item	has_validation_errors	manual	
broadleaf	BOOLEAN	blc_order_item	item_taxable_flag	manual	
broadleaf	BOOLEAN	blc_order_item	retail_price_override	manual	
broadleaf	BOOLEAN	blc_order_item	sale_price_override	manual	
broadleaf	BOOLEAN	blc_order_item_adjustment	applied_to_sale_price	manual	
broadleaf	BOOLEAN	blc_order_item_dtl_adj	applied_to_sale_price	manual	
broadleaf	BOOLEAN	blc_order_item_price_dtl	use_sale_price	manual	
broadleaf	BOOLEAN	blc_order_lock	locked	manual	
broadleaf	BOOLEAN	blc_order_payment	archived	manual	
broadleaf	BOOLEAN	blc_order_payment_transaction	archived	manual	
broadleaf	BOOLEAN	blc_order_payment_transaction	save_token	manual	
broadleaf	BOOLEAN	blc_order_payment_transaction	success	manual	
broadleaf	BOOLEAN	blc_page	exclude_from_site_map	manual	
broadleaf	BOOLEAN	blc_page	offline_flag	manual	
broadleaf	BOOLEAN	blc_payment_log	transaction_success	manual	
broadleaf	BOOLEAN	blc_phone	is_active	manual	
broadleaf	BOOLEAN	blc_phone	is_default	manual	
broadleaf	BOOLEAN	blc_product	archived	manual	
broadleaf	BOOLEAN	blc_product	can_sell_without_options	manual	
broadleaf	BOOLEAN	blc_product	is_featured_product	manual	
broadleaf	BOOLEAN	blc_product	override_generated_url	manual	
broadleaf	BOOLEAN	blc_product_bundle	auto_bundle	manual	
broadleaf	BOOLEAN	blc_product_bundle	bundle_promotable	manual	
broadleaf	BOOLEAN	blc_product_bundle	items_promotable	manual	
broadleaf	BOOLEAN	blc_product_option	required	manual	
broadleaf	BOOLEAN	blc_product_option	use_in_sku_generation	manual	
broadleaf	BOOLEAN	blc_promotion_message	archived	manual	
broadleaf	BOOLEAN	blc_review_feedback	is_helpful	manual	
broadleaf	BOOLEAN	blc_sandbox	archived	manual	
