benchmark,db_type,query_number,run_idx,elapsed_sec,error
tpch,mssql,1,1,,"(pyodbc.OperationalError) ('HYT00', '[HYT00] [Microsoft][ODBC Driver 17 for SQL Server]Login timeout expired (0) (SQLDriverConnect)')
(Background on this error at: https://sqlalche.me/e/20/e3q8)"
tpch,mssql,2,1,27.938472509384155,
tpch,mssql,3,1,28.97035002708435,
tpch,mssql,4,1,0.4269137382507324,
tpch,mssql,5,1,1.2007150650024414,
tpch,mssql,6,1,0.6572372913360596,
tpch,mssql,7,1,0.7905521392822266,
tpch,mssql,8,1,0.8316044807434082,
tpch,mssql,9,1,2.902951955795288,
tpch,mssql,10,1,0.6985673904418945,
